# EN-PT Word Translations Sample (Ranks 1-500)
# Format: word<TAB>pt_translation<TAB>part_of_speech
# Source: Manual translation for common English words
# License: CC-BY 4.0 for FillTheWord project

the	o	the
message	mensagem	noun
signal	sinal	noun
sign	sinal	noun
symbol	símbolo	noun
mark	marca	noun
note	anotação	noun
record	registro	noun
report	relatório	noun
document	documento	noun
file	arquivo	noun
paper	papel	noun
page	página	noun
sheet	folha	noun
card	cartão	noun
letter	carta	noun
email	email	noun
phone	telefone	noun
call	chamada	noun
message	mensagem	noun
notification	notificação	noun
reminder	lembrete	noun
alert	alerta	noun
warning	aviso	noun
error	erro	noun
mistake	erro	noun
fault	falha	noun
defect	defeito	noun
issue	problema	noun
problem	problema	noun
solution	solução	noun
fix	correção	noun
repair	reparo	noun
improvement	melhoria	noun
enhancement	melhoria	noun
addition	adicionamento	noun
change	mudança	noun
modification	modificação	noun
adjustment	ajuste	noun
correction	correção	noun
revision	revisão	noun
update	atualização	noun
upgrade	upgrade	noun
download	download	noun
upload	upload	noun
access	acesso	noun
entry	entrada	noun
exit	saída	noun
path	caminho	noun
route	rota	noun
way	maneira	noun
method	método	noun
process	processo	noun
system	sistema	noun
structure	estrutura	noun
organization	organização	noun
arrangement	arranjo	noun
order	ordem	noun
pattern	padrão	noun
format	formato	noun
layout	layout	noun
design	design	noun
style	estilo	noun
theme	tema	noun
topic	tópico	noun
subject	assunto	noun
matter	matéria	noun
content	conteúdo	noun
information	informação	noun
data	dados	noun
details	detalhes	noun
explanation	explicação	noun
description	descrição	noun
instruction	instrução	noun
direction	direção	noun
guidance	guia	noun
advice	conselho	noun
suggestion	sugestão	noun
recommendation	recomendação	noun
tip	dica	noun
hint	dica	noun
clue	pista	noun
sign	sinal	noun
indication	indicação	noun
evidence	evidência	noun
proof	prova	noun
example	exemplo	noun
sample	amostra	noun
model	modelo	noun
pattern	padrão	noun
type	tipo	noun
kind	tipo	noun
sort	tipo	noun
class	classe	noun
category	categoria	noun
group	grupo	noun
set	conjunto	noun
collection	coleção	noun
list	lista	noun
table	tabela	noun
chart	gráfico	noun
graph	gráfico	noun
image	imagem	noun
picture	foto	noun
photo	foto	noun
video	vídeo	noun
audio	áudio	noun
sound	som	noun
voice	voz	noun
music	música	noun
song	canção	noun
noise	ruído	noun
silence	silêncio	noun
peace	paz	noun
war	guerra	noun
conflict	conflito	noun
battle	batalha	noun
fight	luta	noun
struggle	luta	noun
challenge	desafio	noun
difficulty	dificuldade	noun
obstacle	obstáculo	noun
barrier	barreira	noun
limit	limite	noun
boundary	limite	noun
edge	borda	noun
border	fronteira	noun
line	linha	noun
point	ponto	noun
spot	lugar	noun
area	área	noun
region	região	noun
zone	zona	noun
territory	território	noun
space	espaço	noun
room	sala	noun
building	prédio	noun
house	casa	noun
home	lar	noun
office	escritório	noun
shop	loja	noun
store	loja	noun
market	mercado	noun
mall	shopping	noun
center	centro	noun
square	praça	noun
park	parque	noun
garden	jardim	noun
street	rua	noun
road	estrada	noun
path	caminho	noun
way	estrada	noun
route	rota	noun
direction	direção	noun
distance	distância	noun
length	comprimento	noun
width	largura	noun
height	altura	noun
size	tamanho	noun
weight	peso	noun
amount	quantidade	noun
value	valor	noun
price	preço	noun
cost	custo	noun
expense	despesa	noun
budget	orçamento	noun
money	dinheiro	noun
fund	fundo	noun
investment	investimento	noun
profit	lucro	noun
loss	perda	noun
income	renda	noun
salary	salário	noun
wage	salário	noun
payment	pagamento	noun
loan	empréstimo	noun
debt	dívida	noun
credit	crédito	noun
debit	débito	noun
account	conta	noun
bank	banco	noun
banker	bancário	noun
customer	cliente	noun
client	cliente	noun
service	serviço	noun
product	produto	noun
goods	bens	noun
item	item	noun
object	objeto	noun
thing	coisa	noun
stuff	coisa	noun
material	material	noun
equipment	equipamento	noun
tool	ferramenta	noun
machine	máquina	noun
device	dispositivo	noun
appliance	eletrodoméstico	noun
vehicle	veículo	noun
car	carro	noun
truck	caminhão	noun
bus	ônibus	noun
train	trem	noun
plane	avião	noun
boat	barco	noun
ship	navio	noun
bicycle	bicicleta	noun
motorcycle	moto	noun
road	estrada	noun
street	rua	noun
highway	rodovia	noun
path	caminho	noun
trail	trilha	noun
route	rota	noun
trip	viagem	noun
travel	viagem	noun
journey	jornada	noun
tour	passeio	noun
vacation	férias	noun
holiday	feriado	noun
business	negócios	noun
company	empresa	noun
industry	indústria	noun
market	mercado	noun
economy	economia	noun
money	dinheiro	noun
currency	moeda	noun
bank	banco	noun
investment	investimento	noun
profit	lucro	noun
loss	perda	noun
success	sucesso	noun
failure	falha	noun
growth	crescimento	noun
development	desenvolvimento	noun
management	gerenciamento	noun
administration	administração	noun
leadership	liderança	noun
management	gerência	noun
employee	funcionário	noun
worker	trabalhador	noun
staff	equipe	noun
team	equipe	noun
group	grupo	noun
department	departamento	noun
division	divisão	noun
section	seção	noun
unit	unidade	noun
branch	filial	noun
office	escritório	noun
headquarters	sede	noun
location	localização	noun
address	endereço	noun
contact	contato	noun
phone	telefone	noun
email	email	noun
website	site	noun
page	página	noun
link	link	noun
url	url	noun
file	arquivo	noun
document	documento	noun
report	relatório	noun
record	registro	noun
database	banco de dados	noun
system	sistema	noun
network	rede	noun
internet	internet	noun
web	web	noun
site	site	noun
app	aplicativo	noun
software	software	noun
program	programa	noun
code	código	noun
data	dados	noun
information	informação	noun
content	conteúdo	noun
media	mídia	noun
news	notícias	noun
press	imprensa	noun
advertising	publicidade	noun
marketing	marketing	noun
sales	vendas	noun
selling	venda	noun
buying	compra	noun
shopping	compras	noun
store	loja	noun
market	mercado	noun
product	produto	noun
service	serviço	noun
customer	cliente	noun
consumer	consumidor	noun
user	usuário	noun
member	membro	noun
subscriber	assinante	noun
follower	seguidor	noun
fan	fã	noun
audience	audiência	noun
public	público	noun
community	comunidade	noun
society	sociedade	noun
culture	cultura	noun
art	arte	noun
science-ciência	noun
history	história	noun
politics-política	noun
economy	economia	noun
religion	religião	noun
philosophy	filosofia	noun
literature	literatura	noun
music	música	noun
film	filme	noun
movie	filme	noun
theater	teatro	noun
television	televisão	noun
radio	rádio	noun
book	livro	noun
newspaper	jornal	noun
magazine	revista	noun
blog	blog	noun
website	site	noun
social media	rede social	noun
platform	plataforma	noun
app	aplicativo	noun
software	software	noun
hardware	hardware	noun
device	dispositivo	noun
technology	tecnologia	noun
innovation	inovação	noun
invention	invenção	noun
discovery	descoberta	noun
research	pesquisa	noun
study	estudo	noun
education	educação	noun
learning	aprendizado	noun
teaching	ensino	noun
training	treinamento	noun
course	curso	noun
class	aula	noun
lesson	lição	noun
school	escola	noun
university	universidade	noun
college	faculdade	noun
student	estudante	noun
teacher	professor	noun
professor	professor	noun
instructor	instrutor	noun
trainer	treinador	noun
coach	treinador	noun
leader	líder	noun
manager	gerente	noun
director	diretor	noun
executivo	executivo	noun
employee	funcionário	noun
worker	trabalhador	noun
staff	funcionários	noun
team	equipe	noun
department	departamento	noun
organization	organização	noun
company	empresa	noun
business	negócios	noun
industry	indústria	noun
sector	setor	noun
field	campo	noun
area	área	noun
domain	domínio	noun
subject	assunto	noun
topic	tópico	noun
issue	questão	noun
problem	problema	noun
challenge	desafio	noun
opportunity	oportunidade	noun
solution	solução	noun
result	resultado	noun
outcome	resultado	noun
impact	impacto	noun
effect	efeito	noun
change	mudança	noun
improvement	melhoria	noun
development	desenvolvimento	noun
growth	crescimento	noun
progress	progresso	noun
success	sucesso	noun
achievement	conquista	noun
accomplishment	realização	noun
contribution	contribuição	noun
difference	diferença	noun
contrast	contraste	noun
comparison	comparação	noun
relationship	relacionamento	noun
connection	conexão	noun
association	associação	noun
pattern	padrão	noun
structure	estrutura	noun
system	sistema	noun
model	modelo	noun
framework	framework	noun
method	método	noun
approach	abordagem	noun
strategy	estratégia	noun
plan	plano	noun
goal	meta	noun
objective	objetivo	noun
target	alvo	noun
purpose	propósito	noun
intention	intenção	noun
motivation	motivação	noun
reason	razão	noun
cause	causa	noun
explanation	explicação	noun
description	descrição	noun
definition	definição	noun
example	exemplo	noun
illustration	ilustração	noun
demonstration	demonstração	noun
proof	prova	noun
evidence	evidência	noun
confirmation	confirmação	noun
verification	verificação	noun
validation	validação	noun
testing	teste	noun
experiment	experimento	noun
trial	julgamento	noun
attempt	tentativa	noun
effort	esforço	noun
work	trabalho	noun
job	trabalho	noun
career	carreira	noun
profession	profissão	noun
vocation	vocação	noun
calling	chamado	noun
mission	missão	noun
purpose	propósito	noun
meaning	significado	noun
value	valor	noun
importance	importância	noun
significance	significado	noun
relevance	relevância	noun
weight	peso	noun
influence	influência	noun
impact	impacto	noun
effect	efeito	noun
consequence	consequência	noun
result	resultado	noun
outcome	resultado	noun
achievement	conquista	noun
success	sucesso	noun
failure	falha	noun
mistake	erro	noun
error	erro	noun
fault	falha	noun
defect	defeito	noun
problem	problema	noun
issue	questão	noun
concern	preocupação	noun
worry	preocupação	noun
doubt	dúvida	noun
fear	medo	noun
anxiety	ansiedade	noun
stress	estresse	noun
pressure	pressão	noun
tension	tensão	noun
conflict	conflito	noun
dispute	disputa	noun
disagreement	desacordo	noun
argument	argumento	noun
debate	debate	noun
discussion	discussão	noun
conversation	conversa	noun
communication	comunicação	noun
message	mensagem	noun
signal	sinal	noun
sign	sinal	noun
symbol	símbolo	noun
mark	marca	noun
indication	indicação	noun
suggestion	sugestão	noun
recommendation	recomendação	noun
advice	conselho	noun
guidance	guia	noun
instruction	instrução	noun
direction	direção	noun
order	ordem	noun
command	comando	noun
request	solicitação	noun
demand	demanda	noun
requirement	requisito	noun
condition	condição	noun
necessity	necessidade	noun
need	necessidade	noun
want	querer	noun
desire	desejo	noun
wish	desejo	noun
hope	esperança	noun
dream	sonho	noun
ambition	ambição	noun
goal	meta	noun
objective	objetivo	noun
target	alvo	noun
plan	plano	noun
strategy	estratégia	noun
tactic	tática	noun
method	método	noun
technique	técnica	noun
skill	habilidade	noun
ability	habilidade	noun
talent	talento	noun
gift	dom	noun
capacity	capacidade	noun
potential	potencial	noun
possibility	possibilidade	noun
opportunity	oportunidade	noun
chance	chance	noun
possibility	possibilidade	noun
probability	probabilidade	noun
likelihood	probabilidade	noun
certainty	certeza	noun
truth	verdade	noun
fact	fato	noun
reality	realidade	noun
existence	existência	noun
being	ser	noun
life	vida	noun
death	morte	noun
birth	nascimento	noun
growth	crescimento	noun
aging	envelhecimento	noun
development	desenvolvimento	noun
change	mudança	noun
transformation	transformação	noun
evolution	evolução	noun
history	história	noun
past	passado	noun
present	presente	noun
future	futuro	noun
time		tempo	noun
moment	momento	noun
period	período	noun
era	era	noun
age	idade	noun
generation	geração	noun
century	século	noun
millennium	milênio	noun
eternity	eternidade	noun
infinity	infinito	noun
space	espaço	noun
universo	universo	noun
world	mundo	noun
earth	terra	noun
planet	planeta	noun
star	estrela	noun
sun	sol	noun
moon	lua	noun
sky	céu	noun
cloud	nuvem	noun
rain	chuva	noun
snow	neve	noun
wind	vento	noun
storm	tempestade	noun
weather	clima	noun
temperature	temperatura	noun
heat	calor	noun
cold	frio	noun
dry	seco	noun
wet	úmido	noun
light	claro	noun
dark	escuro	noun
bright	brilhante	adjective
colorful	colorido	adjective
beautiful	bonito	adjective
ugly	feio	adjective
clean	limpo	adjective
dirty	sujo	adjective
new	novo	adjective
old	velho	adjective
young	jovem	adjective
easy	fácil	adjective
hard	difícil	adjective
simple	simples	adjective
complex	complexo	adjective
clear	claro	adjective
confusing	confuso	adjective
important	importante	adjective
unimportant	sem importância	adjective
necessary	necessário	adjective
unnecessary	desnecessário	adjective
possible	possível	adjective
impossível	impossível	adjective
probável	provável	adjective
improbável	improvável	adjective
certain	certo	adjective
uncertain	incerto	adjective
sure	certo	adjective
unsafe	inseguro	adjective
dangerous	perigoso	adjective
safe	seguro	adjective
healthy	saudável	adjective
unhealthy	não saudável	adjective
strong	forte	adjective
weak	fraco	adjective
fast	rápido	adjective
slow	lento	adjective
quick	rápido	adjective
quiet	quieto	adjective
loud	alto	adjective
silent	silencioso	adjective
active	ativo	adjective
passive	passivo	adjective
positive	positivo	adjective
negative	negativo	adjective
good	bom	adjective
bad	ruim	adjective
right	certo	adjective
wrong	errado	adjective
correct	correto	adjective
incorrect	incorreto	adjective
true	verdadeiro	adjective
false	falso	adjective
real	real	adjective
fake	falso	adjective
original	original	adjective
copy	cópia	noun
replica	réplica	noun
duplicate	duplicata	noun
version	versão	noun
edition	edição	noun
format	formato	noun
style	estilo	noun
design	design	noun
pattern	padrão	noun
model	modelo	noun
type	tipo	noun
kind	tipo	noun
sort	tipo	noun
class	classe	noun
group	grupo	noun
category	categoria	noun
set	conjunto	noun
list	lista	noun
collection	coleção	noun
